,State,Year,Quater,District,Transaction_count,Transaction_amount,id
0,Andaman & Nicobar Island,2018,Q1,North And Middle Andaman District,442,931663.0770939871,35
1,Andaman & Nicobar Island,2018,Q1,South Andaman District,5688,12560249.34366581,35
2,Andaman & Nicobar Island,2018,Q1,Nicobars District,528,1139848.801225994,35
3,Andaman & Nicobar Island,2018,Q2,North And Middle Andaman District,825,1317863.0834906558,35
4,Andaman & Nicobar Island,2018,Q2,South Andaman District,9395,23948235.51634325,35
5,Andaman & Nicobar Island,2018,Q2,Nicobars District,1120,3072436.9081196385,35
6,Andaman & Nicobar Island,2018,Q3,North And Middle Andaman District,1283,4901529.518499676,35
7,Andaman & Nicobar Island,2018,Q3,South Andaman District,13511,44268112.46425246,35
8,Andaman & Nicobar Island,2018,Q3,Nicobars District,1471,6387829.151558982,35
9,Andaman & Nicobar Island,2018,Q4,North And Middle Andaman District,2137,7955635.917688001,35
10,Andaman & Nicobar Island,2018,Q4,South Andaman District,20136,75411840.8018554,35
11,Andaman & Nicobar Island,2018,Q4,Nicobars District,1485,7180859.354911782,35
12,Andaman & Nicobar Island,2019,Q1,North And Middle Andaman District,3264,9561708.736298349,35
13,Andaman & Nicobar Island,2019,Q1,South Andaman District,25683,85501972.38780196,35
14,Andaman & Nicobar Island,2019,Q1,Nicobars District,1539,7236059.549389593,35
15,Andaman & Nicobar Island,2019,Q2,North And Middle Andaman District,3371,8612103.137888122,35
16,Andaman & Nicobar Island,2019,Q2,South Andaman District,28490,102530955.71341258,35
17,Andaman & Nicobar Island,2019,Q2,Nicobars District,1828,9111650.82436246,35
18,Andaman & Nicobar Island,2019,Q3,North And Middle Andaman District,4049,11481466.283356791,35
19,Andaman & Nicobar Island,2019,Q3,South Andaman District,27421,91023888.32848611,35
20,Andaman & Nicobar Island,2019,Q3,Nicobars District,2300,11566421.475451011,35
21,Andaman & Nicobar Island,2019,Q4,North And Middle Andaman District,4716,13524056.784573946,35
22,Andaman & Nicobar Island,2019,Q4,South Andaman District,27843,110930312.20611624,35
23,Andaman & Nicobar Island,2019,Q4,Nicobars District,2600,12384161.52668771,35
24,Andaman & Nicobar Island,2020,Q1,North And Middle Andaman District,5674,14697371.617857102,35
25,Andaman & Nicobar Island,2020,Q1,South Andaman District,32713,134679396.90582755,35
26,Andaman & Nicobar Island,2020,Q1,Nicobars District,2911,12099543.773590054,35
27,Andaman & Nicobar Island,2020,Q2,North And Middle Andaman District,10979,22447714.061058957,35
28,Andaman & Nicobar Island,2020,Q2,South Andaman District,48088,132855778.74838585,35
29,Andaman & Nicobar Island,2020,Q2,Nicobars District,3895,14341508.60470232,35
30,Andaman & Nicobar Island,2020,Q3,North And Middle Andaman District,16747,33486883.37042556,35
31,Andaman & Nicobar Island,2020,Q3,South Andaman District,95323,282366109.20523936,35
32,Andaman & Nicobar Island,2020,Q3,Nicobars District,5413,22166453.754695386,35
33,Andaman & Nicobar Island,2020,Q4,North And Middle Andaman District,29349,68941322.38839513,35
34,Andaman & Nicobar Island,2020,Q4,South Andaman District,186494,523122462.883029,35
35,Andaman & Nicobar Island,2020,Q4,Nicobars District,8688,35218871.04342849,35
36,Andaman & Nicobar Island,2021,Q1,North And Middle Andaman District,27358,75027255.27919498,35
37,Andaman & Nicobar Island,2021,Q1,South Andaman District,207092,669604045.1248703,35
38,Andaman & Nicobar Island,2021,Q1,Nicobars District,10302,39075266.9856904,35
39,Andaman & Nicobar Island,2021,Q2,North And Middle Andaman District,39200,90233388.79463302,35
40,Andaman & Nicobar Island,2021,Q2,South Andaman District,286907,760893020.5704944,35
41,Andaman & Nicobar Island,2021,Q2,Nicobars District,15307,48020606.74716837,35
42,Andaman & Nicobar Island,2021,Q3,North And Middle Andaman District,46592,118254865.82750684,35
43,Andaman & Nicobar Island,2021,Q3,South Andaman District,382418,1116789010.6459613,35
44,Andaman & Nicobar Island,2021,Q3,Nicobars District,20754,74980519.3281361,35
45,Andaman & Nicobar Island,2021,Q4,North And Middle Andaman District,53115,156486112.28732437,35
46,Andaman & Nicobar Island,2021,Q4,South Andaman District,558571,1694794708.0093334,35
47,Andaman & Nicobar Island,2021,Q4,Nicobars District,24437,81329281.0269996,35
48,Andaman & Nicobar Island,2022,Q1,North And Middle Andaman District,60059,161624878.52274162,35
49,Andaman & Nicobar Island,2022,Q1,South Andaman District,705512,1872991195.902684,35
50,Andaman & Nicobar Island,2022,Q1,Nicobars District,29177,94414127.64974087,35
51,Andaman & Nicobar Island,2022,Q2,North And Middle Andaman District,72573,195693167.78757268,35
52,Andaman & Nicobar Island,2022,Q2,South Andaman District,954875,2357326563.362071,35
53,Andaman & Nicobar Island,2022,Q2,Nicobars District,43769,132900618.93062323,35
54,Andaman & Nicobar Island,2022,Q3,North And Middle Andaman District,79574,211581970.34202656,35
55,Andaman & Nicobar Island,2022,Q3,South Andaman District,1455255,2967719400.849909,35
56,Andaman & Nicobar Island,2022,Q3,Nicobars District,49550,131330400.94545084,35
57,Andaman & Nicobar Island,2022,Q4,North And Middle Andaman District,93297,241431284.3558103,35
58,Andaman & Nicobar Island,2022,Q4,South Andaman District,1835592,3600887266.099448,35
59,Andaman & Nicobar Island,2022,Q4,Nicobars District,58646,142355853.97352526,35
60,Andhra Pradesh,2018,Q1,East Godavari District,943935,1235785515.599727,28
