,State,Year,Quater,District,Registered_user,App_opening,id
0,Andaman & Nicobar Island,2018,Q1,North And Middle Andaman District,632,0,35
1,Andaman & Nicobar Island,2018,Q1,South Andaman District,5846,0,35
2,Andaman & Nicobar Island,2018,Q1,Nicobars District,262,0,35
3,Andaman & Nicobar Island,2018,Q2,North And Middle Andaman District,911,0,35
4,Andaman & Nicobar Island,2018,Q2,South Andaman District,8143,0,35
5,Andaman & Nicobar Island,2018,Q2,Nicobars District,351,0,35
6,Andaman & Nicobar Island,2018,Q3,North And Middle Andaman District,1208,0,35
7,Andaman & Nicobar Island,2018,Q3,South Andaman District,10474,0,35
8,Andaman & Nicobar Island,2018,Q3,Nicobars District,467,0,35
9,Andaman & Nicobar Island,2018,Q4,North And Middle Andaman District,1553,0,35
10,Andaman & Nicobar Island,2018,Q4,South Andaman District,13133,0,35
11,Andaman & Nicobar Island,2018,Q4,Nicobars District,536,0,35
12,Andaman & Nicobar Island,2019,Q1,North And Middle Andaman District,2013,0,35
13,Andaman & Nicobar Island,2019,Q1,South Andaman District,15961,0,35
14,Andaman & Nicobar Island,2019,Q1,Nicobars District,622,0,35
15,Andaman & Nicobar Island,2019,Q2,North And Middle Andaman District,2417,6118,35
16,Andaman & Nicobar Island,2019,Q2,South Andaman District,18621,43569,35
17,Andaman & Nicobar Island,2019,Q2,Nicobars District,693,2953,35
18,Andaman & Nicobar Island,2019,Q3,North And Middle Andaman District,2662,22064,35
19,Andaman & Nicobar Island,2019,Q3,South Andaman District,20518,138190,35
20,Andaman & Nicobar Island,2019,Q3,Nicobars District,751,10853,35
21,Andaman & Nicobar Island,2019,Q4,North And Middle Andaman District,2955,26253,35
22,Andaman & Nicobar Island,2019,Q4,South Andaman District,22202,139646,35
23,Andaman & Nicobar Island,2019,Q4,Nicobars District,803,11113,35
24,Andaman & Nicobar Island,2020,Q1,North And Middle Andaman District,3315,30444,35
25,Andaman & Nicobar Island,2020,Q1,South Andaman District,24174,151529,35
26,Andaman & Nicobar Island,2020,Q1,Nicobars District,879,11613,35
27,Andaman & Nicobar Island,2020,Q2,North And Middle Andaman District,4100,56992,35
28,Andaman & Nicobar Island,2020,Q2,South Andaman District,27626,231071,35
29,Andaman & Nicobar Island,2020,Q2,Nicobars District,984,17009,35
30,Andaman & Nicobar Island,2020,Q3,North And Middle Andaman District,5355,76553,35
31,Andaman & Nicobar Island,2020,Q3,South Andaman District,34833,417785,35
32,Andaman & Nicobar Island,2020,Q3,Nicobars District,1147,21227,35
33,Andaman & Nicobar Island,2020,Q4,North And Middle Andaman District,7076,125915,35
34,Andaman & Nicobar Island,2020,Q4,South Andaman District,43908,725321,35
35,Andaman & Nicobar Island,2020,Q4,Nicobars District,1412,35972,35
36,Andaman & Nicobar Island,2021,Q1,North And Middle Andaman District,7833,121680,35
37,Andaman & Nicobar Island,2021,Q1,South Andaman District,48352,837589,35
38,Andaman & Nicobar Island,2021,Q1,Nicobars District,1573,45067,35
39,Andaman & Nicobar Island,2021,Q2,North And Middle Andaman District,8493,596182,35
40,Andaman & Nicobar Island,2021,Q2,South Andaman District,51903,1270226,35
41,Andaman & Nicobar Island,2021,Q2,Nicobars District,1699,381815,35
42,Andaman & Nicobar Island,2021,Q3,North And Middle Andaman District,9263,759314,35
43,Andaman & Nicobar Island,2021,Q3,South Andaman District,55873,1771107,35
44,Andaman & Nicobar Island,2021,Q3,Nicobars District,1846,591204,35
45,Andaman & Nicobar Island,2021,Q4,North And Middle Andaman District,10002,171921,35
46,Andaman & Nicobar Island,2021,Q4,South Andaman District,59807,1863037,35
47,Andaman & Nicobar Island,2021,Q4,Nicobars District,1971,77952,35
48,Andaman & Nicobar Island,2022,Q1,North And Middle Andaman District,10720,904869,35
49,Andaman & Nicobar Island,2022,Q1,South Andaman District,63487,2368756,35
50,Andaman & Nicobar Island,2022,Q1,Nicobars District,2081,573782,35
51,Andaman & Nicobar Island,2022,Q2,North And Middle Andaman District,11379,963824,35
52,Andaman & Nicobar Island,2022,Q2,South Andaman District,66959,3404740,35
53,Andaman & Nicobar Island,2022,Q2,Nicobars District,2192,811449,35
54,Andaman & Nicobar Island,2022,Q3,North And Middle Andaman District,11897,1176567,35
55,Andaman & Nicobar Island,2022,Q3,South Andaman District,70445,3607286,35
56,Andaman & Nicobar Island,2022,Q3,Nicobars District,2300,1284501,35
57,Andaman & Nicobar Island,2022,Q4,North And Middle Andaman District,12361,313502,35
58,Andaman & Nicobar Island,2022,Q4,South Andaman District,73692,3881359,35
59,Andaman & Nicobar Island,2022,Q4,Nicobars District,2389,159232,35
60,Andhra Pradesh,2018,Q1,East Godavari District,350356,0,28
61,Andhra Pradesh,2018,Q1,Srikakulam District,143839,0,28
62,Andhra Pradesh,2018,Q1,Visakhapatnam District,497187,0,28
63,Andhra Pradesh,2018,Q1,Prakasam District,189949,0,28
64,Andhra Pradesh,2018,Q1,Anantapur District,241192,0,28
65,Andhra Pradesh,2018,Q1,Kurnool District,240133,0,28
66,Andhra Pradesh,2018,Q1,Guntur District,317065,0,28
67,Andhra Pradesh,2018,Q1,Krishna District,323673,0,28
68,Andhra Pradesh,2018,Q1,Spsr Nellore District,194475,0,28
69,Andhra Pradesh,2018,Q1,Vizianagaram District,128905,0,28
70,Andhra Pradesh,2018,Q1,Ysr District,186800,0,28
71,Andhra Pradesh,2018,Q1,West Godavari District,213335,0,28
72,Andhra Pradesh,2018,Q1,Chittoor District,309541,0,28
73,Andhra Pradesh,2018,Q2,East Godavari District,454398,0,28
74,Andhra Pradesh,2018,Q2,Srikakulam District,186913,0,28
75,Andhra Pradesh,2018,Q2,Visakhapatnam District,636052,0,28
76,Andhra Pradesh,2018,Q2,Prakasam District,253458,0,28
77,Andhra Pradesh,2018,Q2,Anantapur District,326383,0,28
78,Andhra Pradesh,2018,Q2,Kurnool District,319313,0,28
79,Andhra Pradesh,2018,Q2,Guntur District,420326,0,28
80,Andhra Pradesh,2018,Q2,Krishna District,431965,0,28
81,Andhra Pradesh,2018,Q2,Spsr Nellore District,261049,0,28
82,Andhra Pradesh,2018,Q2,Vizianagaram District,167327,0,28
83,Andhra Pradesh,2018,Q2,Ysr District,248657,0,28
84,Andhra Pradesh,2018,Q2,West Godavari District,282393,0,28
85,Andhra Pradesh,2018,Q2,Chittoor District,414306,0,28
86,Andhra Pradesh,2018,Q3,East Godavari District,558982,0,28
87,Andhra Pradesh,2018,Q3,Srikakulam District,228456,0,28
88,Andhra Pradesh,2018,Q3,Visakhapatnam District,769096,0,28
89,Andhra Pradesh,2018,Q3,Prakasam District,314899,0,28
90,Andhra Pradesh,2018,Q3,Anantapur District,405855,0,28
91,Andhra Pradesh,2018,Q3,Kurnool District,394311,0,28
92,Andhra Pradesh,2018,Q3,Guntur District,518931,0,28
93,Andhra Pradesh,2018,Q3,Krishna District,537086,0,28
94,Andhra Pradesh,2018,Q3,Spsr Nellore District,322446,0,28
95,Andhra Pradesh,2018,Q3,Vizianagaram District,203655,0,28
