,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount,id
0,Andaman & Nicobar Island,2018,Q1,Recharge & Bill Payments,4200,1845307.467365509,35
1,Andaman & Nicobar Island,2018,Q1,Peer To Peer Payments,1871,12138655.299749982,35
2,Andaman & Nicobar Island,2018,Q1,Merchant Payments,298,452507.168646613,35
3,Andaman & Nicobar Island,2018,Q1,Financial Services,33,10601.419933464951,35
4,Andaman & Nicobar Island,2018,Q1,Others,256,184689.8662902223,35
5,Andaman & Nicobar Island,2018,Q2,Recharge & Bill Payments,6735,2320944.731074479,35
6,Andaman & Nicobar Island,2018,Q2,Peer To Peer Payments,3575,24511925.231047668,35
7,Andaman & Nicobar Island,2018,Q2,Merchant Payments,603,1024491.0133579008,35
8,Andaman & Nicobar Island,2018,Q2,Financial Services,59,121336.0270987509,35
9,Andaman & Nicobar Island,2018,Q2,Others,368,359838.50537474576,35
10,Andaman & Nicobar Island,2018,Q3,Recharge & Bill Payments,8636,4343504.868377829,35
11,Andaman & Nicobar Island,2018,Q3,Peer To Peer Payments,6448,49270781.54163504,35
12,Andaman & Nicobar Island,2018,Q3,Merchant Payments,945,1627359.8394868043,35
13,Andaman & Nicobar Island,2018,Q3,Financial Services,42,1481.4907042806483,35
14,Andaman & Nicobar Island,2018,Q3,Others,194,314343.39410715323,35
15,Andaman & Nicobar Island,2018,Q4,Recharge & Bill Payments,11517,5450549.512294375,35
16,Andaman & Nicobar Island,2018,Q4,Peer To Peer Payments,10451,81001456.97825177,35
17,Andaman & Nicobar Island,2018,Q4,Merchant Payments,1421,3552027.735492656,35
18,Andaman & Nicobar Island,2018,Q4,Financial Services,29,76035.7877393286,35
19,Andaman & Nicobar Island,2018,Q4,Others,340,468266.0606770435,35
20,Andaman & Nicobar Island,2019,Q1,Recharge & Bill Payments,15263,6611459.872972583,35
21,Andaman & Nicobar Island,2019,Q1,Peer To Peer Payments,13119,91808345.86839552,35
22,Andaman & Nicobar Island,2019,Q1,Merchant Payments,1759,3266589.8469614363,35
23,Andaman & Nicobar Island,2019,Q1,Financial Services,62,116250.436718611,35
24,Andaman & Nicobar Island,2019,Q1,Others,283,497094.6484417205,35
25,Andaman & Nicobar Island,2019,Q2,Recharge & Bill Payments,14676,7242448.256212333,35
26,Andaman & Nicobar Island,2019,Q2,Peer To Peer Payments,14481,107525358.66652842,35
27,Andaman & Nicobar Island,2019,Q2,Merchant Payments,4031,4702152.616619372,35
28,Andaman & Nicobar Island,2019,Q2,Financial Services,124,113278.91371326068,35
29,Andaman & Nicobar Island,2019,Q2,Others,377,671471.222589792,35
30,Andaman & Nicobar Island,2019,Q3,Recharge & Bill Payments,16219,8171737.705916681,35
31,Andaman & Nicobar Island,2019,Q3,Peer To Peer Payments,13767,101079821.10344616,35
32,Andaman & Nicobar Island,2019,Q3,Merchant Payments,3519,4428734.574846684,35
33,Andaman & Nicobar Island,2019,Q3,Financial Services,50,158857.94315586874,35
34,Andaman & Nicobar Island,2019,Q3,Others,215,232624.75992853564,35
35,Andaman & Nicobar Island,2019,Q4,Peer To Peer Payments,18128,121493224.30754513,35
36,Andaman & Nicobar Island,2019,Q4,Recharge & Bill Payments,13851,9538690.916424634,35
37,Andaman & Nicobar Island,2019,Q4,Merchant Payments,2920,5247500.487902376,35
38,Andaman & Nicobar Island,2019,Q4,Financial Services,60,295937.2110898865,35
39,Andaman & Nicobar Island,2019,Q4,Others,200,263177.5944158883,35
40,Andaman & Nicobar Island,2020,Q1,Peer To Peer Payments,18324,142332401.79234773,35
41,Andaman & Nicobar Island,2020,Q1,Recharge & Bill Payments,18268,10850414.023977457,35
42,Andaman & Nicobar Island,2020,Q1,Merchant Payments,4424,7752871.558217709,35
43,Andaman & Nicobar Island,2020,Q1,Financial Services,66,208231.7307165264,35
44,Andaman & Nicobar Island,2020,Q1,Others,216,332393.19201521645,35
45,Andaman & Nicobar Island,2020,Q2,Recharge & Bill Payments,38125,17659622.73418829,35
46,Andaman & Nicobar Island,2020,Q2,Peer To Peer Payments,20303,141728757.73517442,35
47,Andaman & Nicobar Island,2020,Q2,Merchant Payments,4004,9236375.740471344,35
48,Andaman & Nicobar Island,2020,Q2,Financial Services,175,706932.1397115812,35
49,Andaman & Nicobar Island,2020,Q2,Others,355,313313.0646014327,35
50,Andaman & Nicobar Island,2020,Q3,Recharge & Bill Payments,59310,24756220.875469357,35
51,Andaman & Nicobar Island,2020,Q3,Peer To Peer Payments,40697,289078946.7312394,35
52,Andaman & Nicobar Island,2020,Q3,Merchant Payments,16096,22682992.238478824,35
53,Andaman & Nicobar Island,2020,Q3,Financial Services,572,961836.7129860274,35
54,Andaman & Nicobar Island,2020,Q3,Others,808,539449.7721868362,35
55,Andaman & Nicobar Island,2020,Q4,Peer To Peer Payments,81439,533316526.1814983,35
56,Andaman & Nicobar Island,2020,Q4,Recharge & Bill Payments,80811,33710030.534383245,35
57,Andaman & Nicobar Island,2020,Q4,Merchant Payments,59391,56867468.940003954,35
58,Andaman & Nicobar Island,2020,Q4,Financial Services,965,1880546.967237064,35
59,Andaman & Nicobar Island,2020,Q4,Others,1925,1508083.6917299272,35
60,Andaman & Nicobar Island,2021,Q1,Peer To Peer Payments,105458,665391395.715478,35
61,Andaman & Nicobar Island,2021,Q1,Recharge & Bill Payments,84119,37160922.86506996,35
62,Andaman & Nicobar Island,2021,Q1,Merchant Payments,53090,78606979.05751458,35
63,Andaman & Nicobar Island,2021,Q1,Financial Services,884,1469351.0852598653,35
64,Andaman & Nicobar Island,2021,Q1,Others,1201,1077918.666433228,35
65,Andaman & Nicobar Island,2021,Q2,Peer To Peer Payments,132772,748382044.7707307,35
66,Andaman & Nicobar Island,2021,Q2,Recharge & Bill Payments,120911,43691961.26275121,35
67,Andaman & Nicobar Island,2021,Q2,Merchant Payments,85143,103707408.50908464,35
68,Andaman & Nicobar Island,2021,Q2,Financial Services,960,2038521.5136710336,35
69,Andaman & Nicobar Island,2021,Q2,Others,1628,1327080.0560584562,35
70,Andaman & Nicobar Island,2021,Q3,Peer To Peer Payments,192321,1077787837.1562996,35
71,Andaman & Nicobar Island,2021,Q3,Recharge & Bill Payments,136010,51243450.85925055,35
72,Andaman & Nicobar Island,2021,Q3,Merchant Payments,118340,176991328.21761328,35
73,Andaman & Nicobar Island,2021,Q3,Financial Services,990,2351013.441729573,35
74,Andaman & Nicobar Island,2021,Q3,Others,2103,1650766.1267105162,35
75,Andaman & Nicobar Island,2021,Q4,Peer To Peer Payments,285778,1544932663.2744582,35
76,Andaman & Nicobar Island,2021,Q4,Merchant Payments,210164,322842314.62433755,35
77,Andaman & Nicobar Island,2021,Q4,Recharge & Bill Payments,135608,59243518.11464358,35
78,Andaman & Nicobar Island,2021,Q4,Financial Services,1718,3137965.167474068,35
79,Andaman & Nicobar Island,2021,Q4,Others,2855,2453640.142743944,35
80,Andaman & Nicobar Island,2022,Q1,Peer To Peer Payments,342649,1682328505.7254477,35
81,Andaman & Nicobar Island,2022,Q1,Merchant Payments,284298,370091558.68373305,35
82,Andaman & Nicobar Island,2022,Q1,Recharge & Bill Payments,163401,71300133.66101266,35
83,Andaman & Nicobar Island,2022,Q1,Financial Services,1757,2869682.022951186,35
84,Andaman & Nicobar Island,2022,Q1,Others,2643,2440321.9820225406,35
85,Andaman & Nicobar Island,2022,Q2,Merchant Payments,449540,510838980.9061847,35
86,Andaman & Nicobar Island,2022,Q2,Peer To Peer Payments,437606,2088309073.4552848,35
87,Andaman & Nicobar Island,2022,Q2,Recharge & Bill Payments,179515,82232936.61795366,35
88,Andaman & Nicobar Island,2022,Q2,Financial Services,1448,2089862.3927160464,35
89,Andaman & Nicobar Island,2022,Q2,Others,3108,2449496.7081265687,35
90,Andaman & Nicobar Island,2022,Q3,Merchant Payments,716105,693438186.296541,35
91,Andaman & Nicobar Island,2022,Q3,Peer To Peer Payments,622217,2514535154.56483,35
92,Andaman & Nicobar Island,2022,Q3,Recharge & Bill Payments,240766,97748065.62714244,35
93,Andaman & Nicobar Island,2022,Q3,Financial Services,1814,2166304.9779766416,35
94,Andaman & Nicobar Island,2022,Q3,Others,3477,2744060.670897343,35
95,Andaman & Nicobar Island,2022,Q4,Merchant Payments,956536,906365300.658504,35
96,Andaman & Nicobar Island,2022,Q4,Peer To Peer Payments,768758,2961630584.8271317,35
97,Andaman & Nicobar Island,2022,Q4,Recharge & Bill Payments,256050,110037119.66941178,35
98,Andaman & Nicobar Island,2022,Q4,Financial Services,2499,3533987.230113048,35
99,Andaman & Nicobar Island,2022,Q4,Others,3692,3107412.043626394,35
100,Andhra Pradesh,2018,Q1,Recharge & Bill Payments,5027448,892293975.6698562,28
101,Andhra Pradesh,2018,Q1,Peer To Peer Payments,3049646,10524250283.178782,28
102,Andhra Pradesh,2018,Q1,Merchant Payments,362672,247297640.2400069,28
103,Andhra Pradesh,2018,Q1,Financial Services,204305,44808449.7639544,28
104,Andhra Pradesh,2018,Q1,Others,395514,287626042.970705,28
105,Andhra Pradesh,2018,Q2,Recharge & Bill Payments,6456387,1598591488.4880352,28
106,Andhra Pradesh,2018,Q2,Peer To Peer Payments,4745000,20451493098.8953,28
107,Andhra Pradesh,2018,Q2,Merchant Payments,604847,436785223.8603296,28
108,Andhra Pradesh,2018,Q2,Financial Services,225621,68952114.81374599,28
109,Andhra Pradesh,2018,Q2,Others,322063,328092346.575651,28
110,Andhra Pradesh,2018,Q3,Peer To Peer Payments,16129591,32738630444.668724,28
111,Andhra Pradesh,2018,Q3,Recharge & Bill Payments,7542005,1949098146.8941927,28
112,Andhra Pradesh,2018,Q3,Merchant Payments,1225416,685277254.5076212,28
113,Andhra Pradesh,2018,Q3,Financial Services,380324,60790077.57437308,28
114,Andhra Pradesh,2018,Q3,Others,348725,284248675.5700202,28
115,Andhra Pradesh,2018,Q4,Peer To Peer Payments,17580086,47011639726.13608,28
116,Andhra Pradesh,2018,Q4,Recharge & Bill Payments,9767083,2418164314.470957,28
117,Andhra Pradesh,2018,Q4,Merchant Payments,2622131,1671585888.568256,28
118,Andhra Pradesh,2018,Q4,Financial Services,400837,57178116.40322068,28
119,Andhra Pradesh,2018,Q4,Others,389411,315211361.26249415,28
120,Andhra Pradesh,2019,Q1,Peer To Peer Payments,37420988,77524329742.2595,28
121,Andhra Pradesh,2019,Q1,Recharge & Bill Payments,14022264,3480641602.3771377,28
122,Andhra Pradesh,2019,Q1,Merchant Payments,5043682,2423536770.3706346,28
123,Andhra Pradesh,2019,Q1,Financial Services,416325,47150177.52982048,28
124,Andhra Pradesh,2019,Q1,Others,361263,284937624.5393019,28
125,Andhra Pradesh,2019,Q2,Peer To Peer Payments,32494402,103924649232.4702,28
126,Andhra Pradesh,2019,Q2,Recharge & Bill Payments,14093964,4708345387.9101095,28
127,Andhra Pradesh,2019,Q2,Merchant Payments,9226537,4613405202.681959,28
128,Andhra Pradesh,2019,Q2,Financial Services,145310,26626696.771042537,28
129,Andhra Pradesh,2019,Q2,Others,448802,361492238.3966455,28
130,Andhra Pradesh,2019,Q3,Peer To Peer Payments,39023491,124338645329.51532,28
131,Andhra Pradesh,2019,Q3,Recharge & Bill Payments,20147629,6893984676.598906,28
132,Andhra Pradesh,2019,Q3,Merchant Payments,16581787,7887394038.066369,28
133,Andhra Pradesh,2019,Q3,Financial Services,122270,29778183.027080443,28
134,Andhra Pradesh,2019,Q3,Others,413437,298142027.58625776,28
135,Andhra Pradesh,2019,Q4,Peer To Peer Payments,57181511,178893550050.68753,28
136,Andhra Pradesh,2019,Q4,Merchant Payments,25122370,13476303367.50486,28
137,Andhra Pradesh,2019,Q4,Recharge & Bill Payments,24469888,8335168605.691999,28
138,Andhra Pradesh,2019,Q4,Financial Services,105662,26796571.745749157,28
139,Andhra Pradesh,2019,Q4,Others,338672,216496893.1610288,28
140,Andhra Pradesh,2020,Q1,Peer To Peer Payments,65452143,223088554055.04755,28
141,Andhra Pradesh,2020,Q1,Merchant Payments,31408022,18603161784.496998,28
142,Andhra Pradesh,2020,Q1,Recharge & Bill Payments,30449644,10813530777.973532,28
143,Andhra Pradesh,2020,Q1,Financial Services,75238,43739133.169823855,28
144,Andhra Pradesh,2020,Q1,Others,292310,188228538.3748977,28
145,Andhra Pradesh,2020,Q2,Peer To Peer Payments,73609921,262731724130.7907,28
146,Andhra Pradesh,2020,Q2,Recharge & Bill Payments,41013987,16991006436.573467,28
147,Andhra Pradesh,2020,Q2,Merchant Payments,29976765,22625596525.44269,28
148,Andhra Pradesh,2020,Q2,Financial Services,140941,145274999.15679634,28
149,Andhra Pradesh,2020,Q2,Others,176241,90087654.6000998,28
150,Andhra Pradesh,2020,Q3,Peer To Peer Payments,106791894,406461788252.32056,28
151,Andhra Pradesh,2020,Q3,Merchant Payments,54055557,40739580213.86052,28
152,Andhra Pradesh,2020,Q3,Recharge & Bill Payments,43500067,19475104674.82717,28
153,Andhra Pradesh,2020,Q3,Financial Services,243088,256074924.7187529,28
154,Andhra Pradesh,2020,Q3,Others,312329,151582519.18136686,28
155,Andhra Pradesh,2020,Q4,Peer To Peer Payments,152003791,566639138543.7708,28
