,State,Year,Entity_type,Quarter,District&pincode,Transaction_count,Total_amount,id
0,Andaman & Nicobar Island,2018,district,Q1,South Andaman,5688,12560249,35
1,Andaman & Nicobar Island,2018,district,Q1,Nicobars,528,1139848,35
2,Andaman & Nicobar Island,2018,district,Q1,North And Middle Andaman,442,931663,35
3,Andaman & Nicobar Island,2018,pincode,Q1,744101,1622,2769297,35
4,Andaman & Nicobar Island,2018,pincode,Q1,744103,1223,2238041,35
5,Andaman & Nicobar Island,2018,pincode,Q1,744102,969,3519059,35
6,Andaman & Nicobar Island,2018,pincode,Q1,744105,685,1298560,35
7,Andaman & Nicobar Island,2018,pincode,Q1,744104,340,1039715,35
8,Andaman & Nicobar Island,2018,pincode,Q1,744107,302,556059,35
9,Andaman & Nicobar Island,2018,pincode,Q1,744301,283,445739,35
10,Andaman & Nicobar Island,2018,pincode,Q1,744112,269,333709,35
11,Andaman & Nicobar Island,2018,pincode,Q1,744202,193,238914,35
12,Andaman & Nicobar Island,2018,pincode,Q1,744302,168,547469,35
13,Andaman & Nicobar Island,2018,district,Q2,South Andaman,9395,23948235,35
14,Andaman & Nicobar Island,2018,district,Q2,Nicobars,1120,3072436,35
15,Andaman & Nicobar Island,2018,district,Q2,North And Middle Andaman,825,1317863,35
16,Andaman & Nicobar Island,2018,pincode,Q2,744101,2701,6310089,35
17,Andaman & Nicobar Island,2018,pincode,Q2,744103,1965,4752146,35
18,Andaman & Nicobar Island,2018,pincode,Q2,744102,1525,5810267,35
19,Andaman & Nicobar Island,2018,pincode,Q2,744105,997,2200332,35
20,Andaman & Nicobar Island,2018,pincode,Q2,744301,767,1953749,35
21,Andaman & Nicobar Island,2018,pincode,Q2,744104,659,1650346,35
22,Andaman & Nicobar Island,2018,pincode,Q2,744107,594,1601569,35
23,Andaman & Nicobar Island,2018,pincode,Q2,744112,432,578829,35
24,Andaman & Nicobar Island,2018,pincode,Q2,744202,405,626523,35
25,Andaman & Nicobar Island,2018,pincode,Q2,744302,291,1026590,35
26,Andaman & Nicobar Island,2018,district,Q3,South Andaman,13511,44268112,35
27,Andaman & Nicobar Island,2018,district,Q3,Nicobars,1471,6387829,35
28,Andaman & Nicobar Island,2018,district,Q3,North And Middle Andaman,1283,4901529,35
