State,Year,Quarter,Entity_type,Registered_users,District&pincode.1,id
Andaman & Nicobar Island,2018,Q1,district,5846,South Andaman,35
Andaman & Nicobar Island,2018,Q1,district,632,North And Middle Andaman,35
Andaman & Nicobar Island,2018,Q1,district,262,Nicobars,35
Andaman & Nicobar Island,2018,Q1,pincode,1608,744103,35
Andaman & Nicobar Island,2018,Q1,pincode,1108,744101,35
Andaman & Nicobar Island,2018,Q1,pincode,1075,744105,35
Andaman & Nicobar Island,2018,Q1,pincode,1006,744102,35
Andaman & Nicobar Island,2018,Q1,pincode,272,744104,35
Andaman & Nicobar Island,2018,Q1,pincode,237,744202,35
Andaman & Nicobar Island,2018,Q1,pincode,215,744112,35
Andaman & Nicobar Island,2018,Q1,pincode,207,744301,35
Andaman & Nicobar Island,2018,Q1,pincode,196,744107,35
Andaman & Nicobar Island,2018,Q1,pincode,156,744211,35
Andaman & Nicobar Island,2018,Q2,district,8143,South Andaman,35
Andaman & Nicobar Island,2018,Q2,district,911,North And Middle Andaman,35
Andaman & Nicobar Island,2018,Q2,district,351,Nicobars,35
Andaman & Nicobar Island,2018,Q2,pincode,2188,744103,35
Andaman & Nicobar Island,2018,Q2,pincode,1521,744101,35
Andaman & Nicobar Island,2018,Q2,pincode,1492,744105,35
Andaman & Nicobar Island,2018,Q2,pincode,1419,744102,35
Andaman & Nicobar Island,2018,Q2,pincode,396,744104,35
Andaman & Nicobar Island,2018,Q2,pincode,343,744202,35
Andaman & Nicobar Island,2018,Q2,pincode,299,744112,35
Andaman & Nicobar Island,2018,Q2,pincode,293,744107,35
Andaman & Nicobar Island,2018,Q2,pincode,273,744301,35
Andaman & Nicobar Island,2018,Q2,pincode,240,744211,35
Andaman & Nicobar Island,2018,Q3,district,10474,South Andaman,35
Andaman & Nicobar Island,2018,Q3,district,1208,North And Middle Andaman,35
Andaman & Nicobar Island,2018,Q3,district,467,Nicobars,35
Andaman & Nicobar Island,2018,Q3,pincode,2741,744103,35
Andaman & Nicobar Island,2018,Q3,pincode,1978,744101,35
Andaman & Nicobar Island,2018,Q3,pincode,1935,744105,35
Andaman & Nicobar Island,2018,Q3,pincode,1803,744102,35
Andaman & Nicobar Island,2018,Q3,pincode,507,744104,35
Andaman & Nicobar Island,2018,Q3,pincode,446,744202,35
Andaman & Nicobar Island,2018,Q3,pincode,388,744112,35
Andaman & Nicobar Island,2018,Q3,pincode,384,744107,35
Andaman & Nicobar Island,2018,Q3,pincode,372,744301,35
Andaman & Nicobar Island,2018,Q3,pincode,327,744211,35
Andaman & Nicobar Island,2018,Q4,district,13133,South Andaman,35
Andaman & Nicobar Island,2018,Q4,district,1553,North And Middle Andaman,35
Andaman & Nicobar Island,2018,Q4,district,536,Nicobars,35
Andaman & Nicobar Island,2018,Q4,pincode,3373,744103,35
Andaman & Nicobar Island,2018,Q4,pincode,2498,744101,35
Andaman & Nicobar Island,2018,Q4,pincode,2416,744105,35
Andaman & Nicobar Island,2018,Q4,pincode,2231,744102,35
Andaman & Nicobar Island,2018,Q4,pincode,634,744104,35
Andaman & Nicobar Island,2018,Q4,pincode,554,744202,35
Andaman & Nicobar Island,2018,Q4,pincode,548,744107,35
Andaman & Nicobar Island,2018,Q4,pincode,496,744112,35
Andaman & Nicobar Island,2018,Q4,pincode,433,744211,35
Andaman & Nicobar Island,2018,Q4,pincode,425,744301,35
Andaman & Nicobar Island,2019,Q1,district,15961,South Andaman,35
Andaman & Nicobar Island,2019,Q1,district,2013,North And Middle Andaman,35
Andaman & Nicobar Island,2019,Q1,district,622,Nicobars,35
Andaman & Nicobar Island,2019,Q1,pincode,4136,744103,35
Andaman & Nicobar Island,2019,Q1,pincode,3030,744101,35
Andaman & Nicobar Island,2019,Q1,pincode,2994,744105,35
Andaman & Nicobar Island,2019,Q1,pincode,2667,744102,35
Andaman & Nicobar Island,2019,Q1,pincode,756,744104,35
Andaman & Nicobar Island,2019,Q1,pincode,753,744202,35
Andaman & Nicobar Island,2019,Q1,pincode,667,744107,35
Andaman & Nicobar Island,2019,Q1,pincode,585,744112,35
Andaman & Nicobar Island,2019,Q1,pincode,524,744211,35
Andaman & Nicobar Island,2019,Q1,pincode,488,744301,35
Andaman & Nicobar Island,2019,Q2,district,18621,South Andaman,35
Andaman & Nicobar Island,2019,Q2,district,2417,North And Middle Andaman,35
Andaman & Nicobar Island,2019,Q2,district,693,Nicobars,35
Andaman & Nicobar Island,2019,Q2,pincode,4748,744103,35
Andaman & Nicobar Island,2019,Q2,pincode,3631,744101,35
Andaman & Nicobar Island,2019,Q2,pincode,3547,744105,35
Andaman & Nicobar Island,2019,Q2,pincode,3008,744102,35
Andaman & Nicobar Island,2019,Q2,pincode,885,744202,35
Andaman & Nicobar Island,2019,Q2,pincode,878,744104,35
Andaman & Nicobar Island,2019,Q2,pincode,787,744107,35
Andaman & Nicobar Island,2019,Q2,pincode,672,744112,35
Andaman & Nicobar Island,2019,Q2,pincode,633,744211,35
Andaman & Nicobar Island,2019,Q2,pincode,534,744301,35
Andaman & Nicobar Island,2019,Q3,district,20518,South Andaman,35
Andaman & Nicobar Island,2019,Q3,district,2662,North And Middle Andaman,35
Andaman & Nicobar Island,2019,Q3,district,751,Nicobars,35
Andaman & Nicobar Island,2019,Q3,pincode,5218,744103,35
Andaman & Nicobar Island,2019,Q3,pincode,4026,744101,35
Andaman & Nicobar Island,2019,Q3,pincode,3920,744105,35
Andaman & Nicobar Island,2019,Q3,pincode,3250,744102,35
Andaman & Nicobar Island,2019,Q3,pincode,982,744202,35
Andaman & Nicobar Island,2019,Q3,pincode,975,744104,35
Andaman & Nicobar Island,2019,Q3,pincode,885,744107,35
Andaman & Nicobar Island,2019,Q3,pincode,765,744112,35
Andaman & Nicobar Island,2019,Q3,pincode,701,744211,35
Andaman & Nicobar Island,2019,Q3,pincode,575,744301,35
Andaman & Nicobar Island,2019,Q4,district,22202,South Andaman,35
Andaman & Nicobar Island,2019,Q4,district,2955,North And Middle Andaman,35
Andaman & Nicobar Island,2019,Q4,district,803,Nicobars,35
Andaman & Nicobar Island,2019,Q4,pincode,5637,744103,35
Andaman & Nicobar Island,2019,Q4,pincode,4321,744101,35
Andaman & Nicobar Island,2019,Q4,pincode,4277,744105,35
Andaman & Nicobar Island,2019,Q4,pincode,3485,744102,35
Andaman & Nicobar Island,2019,Q4,pincode,1087,744202,35
Andaman & Nicobar Island,2019,Q4,pincode,1062,744104,35
Andaman & Nicobar Island,2019,Q4,pincode,953,744107,35
Andaman & Nicobar Island,2019,Q4,pincode,812,744112,35
Andaman & Nicobar Island,2019,Q4,pincode,783,744211,35
Andaman & Nicobar Island,2019,Q4,pincode,611,744301,35
Andaman & Nicobar Island,2020,Q1,district,24174,South Andaman,35
Andaman & Nicobar Island,2020,Q1,district,3315,North And Middle Andaman,35
Andaman & Nicobar Island,2020,Q1,district,879,Nicobars,35
Andaman & Nicobar Island,2020,Q1,pincode,6108,744103,35
Andaman & Nicobar Island,2020,Q1,pincode,4689,744101,35
Andaman & Nicobar Island,2020,Q1,pincode,4684,744105,35
